"Source:"	"/home/moptim/elektronicks/kello-yritys2/kello-yritys2.sch"
"Date:"	"ke  5. helmikuuta 2020 20.32.08"
"Tool:"	"Eeschema 5.1.5-52549c5~84~ubuntu18.04.1"
"Component Count:"	"205"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100uF"	"Device:CP"	"Capacitor_SMD:CP_Elec_6.3x7.7"	"Polarized capacitor"	""
"C2"	"1n"	"Device:C"	""	"Unpolarized capacitor"	""
"C3"	"100nF"	"Device:C"	""	"Unpolarized capacitor"	""
"C4"	"100u"	"Device:CP"	"Capacitor_SMD:CP_Elec_6.3x7.7"	"Polarized capacitor"	""
"C5"	"100n"	"Device:C"	""	"Unpolarized capacitor"	""
"C6"	"100n"	"Device:C"	""	"Unpolarized capacitor"	""
"C7"	"100n"	"Device:C"	""	"Unpolarized capacitor"	""
"D1"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D2"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D3"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D4"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D5"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D6"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D7"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D8"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D9"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D10"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D11"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D12"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D13"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D14"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D15"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D16"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D17"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D18"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D19"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D20"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D21"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D22"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D23"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D24"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D25"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D26"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D27"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D28"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D29"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D30"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D31"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D32"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D33"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D34"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D35"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D36"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D37"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
"D38"	"LED_Small_ALT"	"Device:LED_Small_ALT"	"LED_THT:LED_D3.0mm_Clear"	"Light emitting diode, small symbol, filled shape"	""
